
19901101 07:03 296   B     150  24.4 CO50xk Quatsino Sound Light Station, BC, CAN
19881008 03:26 296   B     150  24.4 CO50xk Quatsino Sound Light Station, BC, CAN
19901225 05:44 296   B     150  24.4 CO50xk Quatsino Sound Light Station, BC, CAN
19881123 05:32 296   CRZ   25   50.6 EN20px Corning (Municipal), IA, USA
19881112 07:28 296   G     1000 2.1  EL29ph Galveston, TX, USA
20050309 11:26 296   LGD   25   120. DN15ai La Grande, OR, USA
19880828 10:54 296   LGD   25   120. DN15ai La Grande, OR, USA
19910102 07:28 296   LGD   25   120. DN15ai La Grande, OR, USA
19901226 09:01 296   LGD   25   120. DN15ai La Grande, OR, USA
19880828 10:51 296   LQR   25   69   EM08ke LARNED, KS, USA
20050314 11:27 296   V4    0         DO44ph Bonnyville, AB, CAN
20070805 06:35 296   V4    0         DO44ph Bonnyville, AB, CAN
20070805 15:45 296   V4    0         DO44ph Bonnyville, AB, CAN
19881231 20:44 296   V4    0         DO44ph Bonnyville, AB, CAN
19901225 05:40 296   V4    0         DO44ph Bonnyville, AB, CAN
19911106 22:15 296   V4    0         DO44ph Bonnyville, AB, CAN
20070803 07:36 297   #792  0         EM44pc Bobo, MS, USA
20050221 10:46 297   #833  0         EN63ba Milwaukee, WI, USA
20050320 11:33 298   #831  0         EN57qf Upper Keweenaw, MI, USA
20041018 10:31 298   #868  0         EN21as Orson  (Serves Omaha-  NE), NE, USA
20070803 07:43 298   #868  0         EN21as Orson  (Serves Omaha-  NE), NE, USA
20070803 07:44 298   #875  0         DM24js Essex, CA, USA
20041017 11:38 299   #866  0         EM25oi Sallisaw, OK, USA
20050228 10:32 299   #866  0         EM25oi Sallisaw, OK, USA
20070803 07:45 299   #866  0         EM25oi Sallisaw, OK, USA
19901225 05:37 299   J4    200  13.2 DO47lf Fort Mackay, AB, CAN
20050306 02:37 299   TV    200  13.5 DO20ts Turner Valley, AB, CAN
20070805 15:46 299   TV    200  13.5 DO20ts Turner Valley, AB, CAN
19881231 20:50 299   TV    200  13.5 DO20ts Turner Valley, AB, CAN
19901225 03:21 299   TV    200  13.5 DO20ts Turner Valley, AB, CAN
19911106 22:25 299   TV    200  13.5 DO20ts Turner Valley, AB, CAN
20050213 06:16 300   #871  0         CN95ps Appleton, WA, USA
20070804 10:55 300   #871  0         CN95ps Appleton, WA, USA
20050221 03:27 300   #906  0         CO43mf Sandspit, BC, CAN
20050306 02:37 300   Q5    0         DO03nw Grande Cache, AB, CAN
20070805 06:38 300   Q5    0         DO03nw Grande Cache, AB, CAN
20070805 15:46 300   Q5    0         DO03nw Grande Cache, AB, CAN
19881231 22:04 300   Q5    0         DO03nw Grande Cache, AB, CAN
19901225 03:22 300   Q5    0         DO03nw Grande Cache, AB, CAN
19911106 22:37 300   Q5    0         DO03nw Grande Cache, AB, CAN
19910105 07:48 300   SPF   0         DN84cl BLACK HILLS, SD, USA
19991230 02:30 300   YIV   500  3.1  EO23qu Island Lake, MB, CAN
19881231 22:02 300   YIV   500  3.1  EO23qu Island Lake, MB, CAN
20050318 03:57 301   #822  0         EM82fq Huber  (Macon), GA, USA
20041017 11:42 301   #828  0         EL29gh Bonny  (Angleton), TX, USA
20050301 03:36 302   #888  0         CN88ph Whidbey Island, WA, USA
20070804 11:32 302   #888  0         CN88ph Whidbey Island, WA, USA
19991230 08:14 302   EAG   25   45.8 EN32br Eagle Grove, IA, USA
19881122 07:55 302   EAG   25   45.8 EN32br Eagle Grove, IA, USA
19910102 07:10 302   EAG   25   45.8 EN32br Eagle Grove, IA, USA
19910105 07:38 302   HO    0         EN04tk BEADY, SD, USA
19901220 07:12 302   L     0         DM12jp Point Loma Light, CA, USA
19900717 11:01 302   L     0         DM12jp Point Loma Light, CA, USA
19890723 06:40 302   PU    0         DM78qg MERTZ, CO, USA
19910105 07:40 302   PU    0         DM78qg MERTZ, CO, USA
20050306 02:38 302   QW    40   58.2 DO52tt North Battleford, SK, CAN
20070805 06:39 302   QW    40   58.2 DO52tt North Battleford, SK, CAN
20070805 15:47 302   QW    40   58.2 DO52tt North Battleford, SK, CAN
19881231 22:11 302   QW    40   58.2 DO52tt North Battleford, SK, CAN
19901225 03:23 302   QW    40   58.2 DO52tt North Battleford, SK, CAN
19911106 22:40 302   QW    40   58.2 DO52tt North Battleford, SK, CAN
19901220 07:12 302   V     0         FN03jg Point Vincente Light, CA, USA
19891112 03:18 302   XY    0         CP20ks Whitehorse, YK, CAN
20041017 10:51 303   #873  0         DN40xc Myton, UT, USA
20070803 07:46 303   #873  0         DN40xc Myton, UT, USA
20070803 10:16 304   #777  0         EN53xe Mequon, WI, USA
19881123 05:37 304   BN    0         EM66pa NASHVILLE/DOBBS, TN, USA
20050306 02:39 304   FH    0         DO24cd Mc Leod  (Whitecourt), AB, CAN
20070805 06:40 304   FH    0         DO24cd Mc Leod  (Whitecourt), AB, CAN
20070805 15:47 304   FH    0         DO24cd Mc Leod  (Whitecourt), AB, CAN
19881231 22:15 304   FH    0         DO24cd Mc Leod  (Whitecourt), AB, CAN
19901225 03:23 304   FH    0         DO24cd Mc Leod  (Whitecourt), AB, CAN
20050227 13:31 305   #795  0         DM05kd Bakersfield, CA, USA
20070804 10:51 305   #795  0         DM05kd Bakersfield, CA, USA
20050221 10:50 305   #867  0         EM29hc Thompsonville  (Kansas City), MO, USA
20050318 03:34 305   #890  0         CO26su Biorka Island, ALS
20070803 07:50 305   #890  0         CO26su Biorka Island, ALS
19900102 07:16 305   OI    0         EN12sl 'Tommi'  South Sioux City, NE, USA
20050312 12:12 305   ONO   0         DN14la Ontario, OR, USA
20070803 10:18 305   ONO   0         DN14la Ontario, OR, USA
19881123 05:45 305   ONO   0         DN14la Ontario, OR, USA
19881214 04:55 305   ONO   0         DN14la Ontario, OR, USA
19901101 07:03 305   P     150  24.2 CO60dx Pine Island Light, BC, CAN
19991230 08:16 305   RO    0         DM73si 'Topan'  Roswell, NM, USA
19890218 12:46 305   RO    0         DM73si 'Topan'  Roswell, NM, USA
19901222 08:24 305   RO    0         DM73si 'Topan'  Roswell, NM, USA
20050316 04:20 305   YQ    500  3.9  EO38as Churchill / Eastern Creek, MB, CAN
19881231 22:20 305   YQ    500  3.9  EO38as Churchill / Eastern Creek, MB, CAN
20050306 02:40 305   Z1    49   53.6 DO31jq Three Hills, AB, CAN
20070805 06:41 305   Z1    49   53.6 DO31jq Three Hills, AB, CAN
20070805 15:47 305   Z1    49   53.6 DO31jq Three Hills, AB, CAN
19881231 22:24 305   Z1    49   53.6 DO31jq Three Hills, AB, CAN
19901225 03:24 305   Z1    49   53.6 DO31jq Three Hills, AB, CAN
19881231 22:30 306   R4    0         DO45kj PRIMROSE, AB, CAN
19901225 05:37 306   R4    0         DO45kj PRIMROSE, AB, CAN
20041017 10:48 307   #872  0         DM78tg Sugar City  (Pueblo), CO, USA
20070803 07:51 307   #872  0         DM78tg Sugar City  (Pueblo), CO, USA
19901101 07:06 307   G     0         CN89ic Sand Heads Light Station, BC, CAN
20050316 04:24 307   M5    0         DO16ew Manning, AB, CAN
19901225 05:30 307   M5    0         DO16ew Manning, AB, CAN
19901231 09:40 308   DST   200  13.4 DN26ww 'Desmet' Missoula, MT, USA
19880717 09:40 308   DST   200  13.4 DN26ww 'Desmet' Missoula, MT, USA
19901231 10:36 308   DST   200  13.4 DN26ww 'Desmet' Missoula, MT, USA
19890825 01:15 308   E     0         DO33eg Edmonton, AB, CAN
19881231 22:55 308   E     0         DO33eg Edmonton, AB, CAN
19901225 03:25 308   E     0         DO33eg Edmonton, AB, CAN
19880824 09:37 308   HIL   0         EM08ni HILYN/GREAT BEND, KS, USA
19881122 07:58 308   HIL   0         EM08ni HILYN/GREAT BEND, KS, USA
19910105 07:56 308   HIL   0         EM08ni HILYN/GREAT BEND, KS, USA
19911216 07:23 308   L6    0         CO98gw Yo-Yo, BC, CAN
20050306 02:42 308   ZZD   0         DO33eg Calmar  (Edmonton Intl Apt), AB, CAN
20070805 06:42 308   ZZD   0         DO33eg Calmar  (Edmonton Intl Apt), AB, CAN
20070805 15:48 308   ZZD   0         DO33eg Calmar  (Edmonton Intl Apt), AB, CAN
20041017 10:53 309   #850  0         EN14aw Clark, SD, USA
20050212 22:33 309   #850  0         EN14aw Clark, SD, USA
20070803 07:53 309   #850  0         EN14aw Clark, SD, USA
20070803 20:15 309   #850  0         EN14aw Clark, SD, USA
20050221 13:25 309   #909  0         CO60no Alert Bay, BC, CAN
20070803 08:05 309   #909  0         CO60no Alert Bay, BC, CAN
19901101 07:09 309   J     100  33.7 CN88fh Race Rocks Light Station, BC, CAN
19880824 09:28 309   J     100  33.7 CN88fh Race Rocks Light Station, BC, CAN
20050221 13:23 310   #773  0         DN04le Seneca, OR, USA
20050317 12:10 310   #773  0         DN04le Seneca, OR, USA
20070803 10:22 310   #773  0         DN04le Seneca, OR, USA
20041017 10:55 310   #859  0         DN82pr Whitney, NE, USA
20050212 20:42 310   #859  0         DN82pr Whitney, NE, USA
20070803 07:52 310   #859  0         DN82pr Whitney, NE, USA
20070803 20:16 310   #859  0         DN82pr Whitney, NE, USA
20050320 13:40 310   8A    0         DN89up Carlyle, SK, CAN
20050301 03:58 311   #863  0         EN42va Teeds Grove  (Rock Island-  IL, IL, USA
20070803 08:09 311   #863  0         EN42va Teeds Grove  (Rock Island-  IL, IL, USA
20050306 02:47 311   9Y    50   53.3 DN39am Pincher Creek, AB, CAN
20070805 15:49 311   9Y    50   53.3 DN39am Pincher Creek, AB, CAN
19881231 23:00 311   9Y    50   53.3 DN39am Pincher Creek, AB, CAN
19901225 03:26 311   9Y    50   53.3 DN39am Pincher Creek, AB, CAN
19991230 02:40 311   HY    0         DP20ds Hay River, NT, CAN
19881231 23:02 311   HY    0         DP20ds Hay River, NT, CAN
19901225 03:26 311   HY    0         DP20ds Hay River, NT, CAN
19890723 06:51 311   MVI   50   46.2 DM67xm Monte Vista, CA, USA
19880824 09:31 311   MVI   50   46.2 DM67xm Monte Vista, CA, USA
20041017 10:59 312   #798  0         DM19pj Austin, NV, USA
20050212 23:40 312   #798  0         DM19pj Austin, NV, USA
20070803 07:53 312   #798  0         DM19pj Austin, NV, USA
19890825 01:30 312   L5    50   61.1 DO05os Spirit River, AB, CAN
19881008 13:31 312   L5    50   61.1 DO05os Spirit River, AB, CAN
19890101 18:47 312   L5    50   61.1 DO05os Spirit River, AB, CAN
19901225 05:33 312   L5    50   61.1 DO05os Spirit River, AB, CAN
20050317 04:15 312   UNT   0         DN09eo Naramata  (Penticton), BC, CAN
19911216 07:17 312   UNT   0         DN09eo Naramata  (Penticton), BC, CAN
20041017 11:01 313   #874  0         DN65xx Garland  (Billings), MT, USA
20050212 23:32 313   #874  0         DN65xx Garland  (Billings), MT, USA
20070803 07:55 313   #874  0         DN65xx Garland  (Billings), MT, USA
20041017 11:02 314   #764  0         CM98hu Lincoln, CA, USA
20070803 07:56 314   #764  0         CM98hu Lincoln, CA, USA
19901223 06:52 314   F     150  24.4 CM87mq Farallon Island Light Station, CA, USA
19910106 08:17 314   GGU   25   68.2 EM15pm Prague, OK, USA
19901101 07:03 314   H     150  26.4 CO34lg Langara Island Light Station, BC, CAN
19881123 06:00 314   POH   50   24.1 EN22qs Pocahontas, IA, USA
19910106 03:39 314   POH   50   24.1 EN22qs Pocahontas, IA, USA
19891220 04:03 314   POH   50   24.1 EN22qs Pocahontas, IA, USA
19880514 03:10 314   YN    100  22.2 DO60dg Swift Current, SK, CAN
19890101 18:53 314   YN    100  22.2 DO60dg Swift Current, SK, CAN
19901225 03:26 314   YN    100  22.2 DO60dg Swift Current, SK, CAN
19900109 11:55 314   ZN    320  4.8  EN09xs Portage La Prairie CFB, MB, CAN
19891009 11:55 314   ZN    320  4.8  EN09xs Portage La Prairie CFB, MB, CAN
20041017 11:05 315   #908  0         CN78fw Amphitrite Pt., BC, CAN
20070803 08:02 315   #908  0         CN78fw Amphitrite Pt., BC, CAN
19901101 07:11 315   M     100  34.2 CN79sl Sisters Islets Light Station, BC, CAN
19880902 09:54 315   M     100  34.2 CN79sl Sisters Islets Light Station, BC, CAN
20050212 22:43 316   #848  0         DN17rm Killarney Lake  (Spokane), WA, USA
20050213 11:08 316   #848  0         DN17rm Killarney Lake  (Spokane), WA, USA
20070803 08:16 316   #848  0         DN17rm Killarney Lake  (Spokane), WA, USA
20050221 11:01 317   #864  0         EN44bh Alma  (Saint Paul-  MN), MN, USA
19890101 19:10 317   A5    0         DO07kn CHINCHAGA, AB, CAN
19901225 18:22 317   A5    0         DO07kn CHINCHAGA, AB, CAN
19900717 10:17 317   IBM   25   78.9 DN81de KIMBALL, NE, USA
19901231 10:40 317   IBM   25   78.9 DN81de KIMBALL, NE, USA
19911216 07:08 317   IBM   25   78.9 DN81de KIMBALL, NE, USA
20050306 02:49 317   VC    1000 2.2  DO75ic La Ronge, SK, CAN
20070805 06:44 317   VC    1000 2.2  DO75ic La Ronge, SK, CAN
20070805 15:50 317   VC    1000 2.2  DO75ic La Ronge, SK, CAN
19890101 19:03 317   VC    1000 2.2  DO75ic La Ronge, SK, CAN
19901225 03:26 317   VC    1000 2.2  DO75ic La Ronge, SK, CAN
20041017 11:47 318   #823  0         DM84rt Summerfield, TX, USA
20070803 08:18 318   #823  0         DM84rt Summerfield, TX, USA
20070819 12:15 318   #878  0         CM99ek Chico, CA, USA
19880828 11:15 318   5C    200  9    DN99dr Cromer, MB, CAN
19881031 04:59 318   5C    200  9    DN99dr Cromer, MB, CAN
19890826 08:23 318   UT    25   160. CO26wa Cape Decision LS (Kuiu Island), AK, ALS
19890730 10:00 318   UT    25   160. CO26wa Cape Decision LS (Kuiu Island), AK, ALS
19880902 10:09 318   UT    25   160. CO26wa Cape Decision LS (Kuiu Island), AK, ALS
20050213 06:37 319   #818  0         EM92dd Groveland  (Savannah), GA, USA
20050213 11:49 319   #876  0         DM45cf Castle Butte  (Flagstaff), AZ, USA
20070803 08:21 319   #876  0         DM45cf Castle Butte  (Flagstaff), AZ, USA
20050213 06:44 320   #907  0         CN89mc Richmond, BC, CAN
20050319 06:06 320   #907  0         CN89mc Richmond, BC, CAN
20070803 08:24 320   #907  0         CN89mc Richmond, BC, CAN
19901201 01:44 320   AE    100  33.4 CN89ih Point Atkinson Light Station, BC, CAN
20050309 11:45 320   HTN   100  20.7 DN76aj 'Horton'  Miles City, MT, USA
20070803 20:18 320   HTN   100  20.7 DN76aj 'Horton'  Miles City, MT, USA
19871111 04:40 320   HTN   100  20.7 DN76aj 'Horton'  Miles City, MT, USA
20070806 17:25 320   HTN   100  20.7 DN76aj 'Horton'  Miles City, MT, USA
19890101 19:45 320   HTN   100  20.7 DN76aj 'Horton'  Miles City, MT, USA
19881010 06:09 320   OM    0         EN21ai OMAHA/GERFI, NE, USA
